mu,mu_built_in,mu_emp,met,nmi,nc_norm,gamma_mean,gamma_min,gamma_max
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011301,0,0.007
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011301,0,0.007
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.013684,0,0.007
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.013684,0,0.007
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011803000000000001,0,0.015
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011803000000000001,0,0.015
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.013087,0,0.017
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.013087,0,0.017
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.009187,0,0.02
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.009187,0,0.02
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.011431,0,0.008
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011431,0,0.008
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.012171,0,0.01
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.012171,0,0.01
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.012042,0,0.007
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.012042,0,0.007
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.010769,0,0.008
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010769,0,0.008
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.008643,0,0.009
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.008643,0,0.009
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.009593,0,0.014
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.009593,0,0.014
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.01148,0,0.017
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.01148,0,0.017
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.010938999999999999,0,0.012
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.010938999999999999,0,0.012
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.010925,0,0.009
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010925,0,0.009
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011786,0,0.017
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011786,0,0.017
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.010796,0,0.014
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010796,0,0.014
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.01138,0,0.021
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.01138,0,0.021
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.015439,0,0.039
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.015439,0,0.039
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.012776,0,0.019
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.012776,0,0.019
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.013048,0,0.01
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.013048,0,0.01
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.015539,0,0.03
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.015539,0,0.03
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.010687,0,0.01
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010687,0,0.01
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.013482,0,0.015
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.013482,0,0.015
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.010939,0,0.019
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010939,0,0.019
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011045000000000001,0,0.012
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011045000000000001,0,0.012
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.010014,0,0.015
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.010014,0,0.015
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.011035,0,0.019
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011035,0,0.019
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011448,0,0.012
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011448,0,0.012
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011592,0,0.006
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011592,0,0.006
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.010764000000000001,0,0.01
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010764000000000001,0,0.01
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.012596,0,0.006
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.012596,0,0.006
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.011532,0,0.015
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011532,0,0.015
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011956000000000001,0,0.012
5,0.028,0.026,LD_ST,0.9606218837229995,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9560725715898659,1.1622,0,0,0
5,0.028,0.026,LD_ST,0.9608549585224047,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9562698693576158,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9528451311882181,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9591933455723831,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9528716573648409,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9547025787869351,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9554293366912296,1.1622,0,0,0
