method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.41,0.5327,25,0.6756756756756757,0.193
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5197,0.4688,132,3.5675675675675675,0.402
LP,0.7129,0.0015,0.0078,7,0.1891891891891892,0.011
ML,0.7129,0.4012,0.5328,24,0.6486486486486487,0.179
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4056,0.534,25,0.6756756756756757,0.185
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4676,132,3.5675675675675675,0.401
LP,0.7129,0.0034,0.0127,9,0.24324324324324326,0.016
ML,0.7129,0.4164,0.5322,26,0.7027027027027027,0.206
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.413,0.5317,24,0.6486486486486487,0.182
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5251,0.4641,135,3.6486486486486487,0.402
LP,0.7129,0.0029,0.0117,9,0.24324324324324326,0.015
ML,0.7129,0.3987,0.5345,22,0.5945945945945946,0.173
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4046,0.5332,23,0.6216216216216216,0.17
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5216,0.4663,137,3.7027027027027026,0.403
LP,0.7129,0.4484,0.4951,54,1.4594594594594594,0.282
ML,0.7129,0.414,0.5346,25,0.6756756756756757,0.192
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4095,0.5351,24,0.6486486486486487,0.191
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4673,133,3.5945945945945947,0.399
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.4041,0.5314,22,0.5945945945945946,0.165
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.411,0.5311,23,0.6216216216216216,0.187
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5226,0.466,135,3.6486486486486487,0.398
LP,0.7129,0.0025,0.0117,8,0.21621621621621623,0.014
ML,0.7129,0.4071,0.5331,23,0.6216216216216216,0.165
