sede_op_ateco;NACE;NACE_group;Colonna1
28.25.00;28;MAN;
28.25.00;28;MAN;
28.15.10;28;MAN;
28.52.0;28;MAN;
28.49.09;28;MAN;
28.13.00;28;MAN;
28.11.0;28;MAN;
28.99.20;28;MAN;
28.22.09;28;MAN;
28.91.00;28;MAN;
28.99.20;28;MAN;
28.92.09;28;MAN;
28.49.09;28;MAN;
28.99.20;28;MAN;
28.49.09;28;MAN;
28.21.10;28;MAN;
28.99.20;28;MAN;
28.25.00;28;MAN;
28.91.00;28;MAN;
28.14.00;28;MAN;
28.25.00;28;MAN;
28.21.10;28;MAN;
28.25.00;28;MAN;
28.91.00;28;MAN;
28.30.90;28;MAN;
28.25.00;28;MAN;
28.29.91;28;MAN;
28.91.00;28;MAN;
28.29.99;28;MAN;
28.96.00;28;MAN;
28.29.99;28;MAN;
28.29.99;28;MAN;
28.25.00;28;MAN;
28.25.00;28;MAN;
28.13.00;28;MAN;
28.94.10;28;MAN;
28.29.30;28;MAN;
28.91.00;28;MAN;
28.75.3;28;MAN;
28.30.90;28;MAN;
28.49.09;28;MAN;
28.25.00;28;MAN;
28.25.00;28;MAN;
28.91.00;28;MAN;
28.99.20;28;MAN;
28.29.99;28;MAN;
28.49.09;28;MAN;
28.25.00;28;MAN;
28.29.99;28;MAN;
28.49.09;28;MAN;
28.25.00;28;MAN;
28.49.09;28;MAN;
28.99.20;28;MAN;
28.25.00;28;MAN;
28.49.09;28;MAN;
28.25.00;28;MAN;
28.99.99;28;MAN;
28.49.09;28;MAN;
28.49.09;28;MAN;
28.91.00;28;MAN;
28.99.20;28;MAN;
28.94.10;28;MAN;
28.29.99;28;MAN;
28.25.00;28;MAN;
28.14.00;28;MAN;
28.91.00;28;MAN;
28.52.0;28;MAN;
28.25.00;28;MAN;
29.32.09;29;MAN;
29.72.0;29;MAN;
29.22.1;29;MAN;
29.13.0;29;MAN;
29.71.0;29;MAN;
29.71.0;29;MAN;
29.22.1;29;MAN;
29.24.3;29;MAN;
29.22.1;29;MAN;
29.11.2;29;MAN;
29.23.2;29;MAN;
29.20.00;29;MAN;
29.71.0;29;MAN;
29.24.3;29;MAN;
29.42.0;29;MAN;
29.22.1;29;MAN;
29.22.1;29;MAN;
29.20.00;29;MAN;
30.11.02;30;MAN;
30.30.09;30;MAN;
30.30.09;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.12.00;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.12.00;30;MAN;
30.30.09;30;MAN;
30.11.02;30;MAN;
30.30.09;30;MAN;
30.30.09;30;MAN;
30.11.02;30;MAN;
30.20.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
30.11.02;30;MAN;
31.30.0;31;MAN;
31.02.00;31;MAN;
