mu,met,j,nmi,nc_norm
20,LV_inc05_ST,0,0.753,0.973
20,LV_inc05_ST,0,0.755,0.9459
20,LV_inc05_ST,0,0.757,0.9459
20,LV_inc05_ST,0,0.778,1
20,LV_inc05_ST,0,0.781,1
20,LV_inc05_ST,0,0.734,0.9189
20,LV_inc05_ST,0,0.759,0.973
20,LV_inc05_ST,0,0.77,0.973
20,LV_inc05_ST,0,0.737,0.9459
20,LV_inc05_ST,0,0.752,0.9459
20,LV_inc05_ST,0,0.762,0.973
20,LV_inc05_ST,0,0.754,0.973
20,LV_inc05_ST,0,0.738,0.9189
20,LV_inc05_ST,0,0.768,0.973
20,LV_inc05_ST,0,0.755,0.9459
20,LV_inc05_ST,0,0.758,0.973
20,LV_inc05_ST,0,0.749,0.9459
20,LV_inc05_ST,0,0.756,0.9459
20,LV_inc05_ST,0,0.753,0.9459
20,LV_inc05_ST,0,0.781,1.027
20,LV_inc05_ST,0,0.777,1.027
20,LV_inc05_ST,0,0.743,0.9459
20,LV_inc05_ST,0,0.764,0.9459
20,LV_inc05_ST,0,0.755,0.9459
20,LV_inc05_ST,0,0.769,0.973
20,LV_inc05_ST,0,0.75,0.9459
20,LV_inc05_ST,0,0.764,0.9459
20,LV_inc05_ST,0,0.756,0.9459
20,LV_inc05_ST,0,0.783,1.027
20,LV_inc05_ST,0,0.754,0.9459
20,LV_inc05_ST,0,0.766,0.973
20,LV_inc05_ST,0,0.761,1
20,LV_inc05_ST,0,0.766,0.973
20,LV_inc05_ST,0,0.751,0.9459
20,LV_inc05_ST,0,0.767,0.973
20,LV_inc05_ST,0,0.743,0.9459
20,LV_inc05_ST,0,0.765,0.973
20,LV_inc05_ST,0,0.742,0.9189
20,LV_inc05_ST,0,0.774,1
20,LV_inc05_ST,0,0.771,0.973
20,LV_inc05_ST,0,0.761,0.973
20,LV_inc05_ST,0,0.758,0.9459
20,LV_inc05_ST,0,0.762,0.973
20,LV_inc05_ST,0,0.76,0.9459
20,LV_inc05_ST,0,0.769,1
