mm1,mm2,met1,met2,nmi_m1_m2
LP,WT,2,4,0.9301169635259241
LP,WT,2,4,0.9301169635259241
LP,WT,2,4,0.9301169635259241
LP,WT,2,4,0.9301169635259241
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9306502176937104
LP,WT,2,4,0.9306502176937104
LP,WT,2,4,0.9306502176937104
LP,WT,2,4,0.9306502176937104
LP,WT,2,4,0.9306502176937104
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.884053253231307
LP,WT,2,4,0.884053253231307
LP,WT,2,4,0.884053253231307
LP,WT,2,4,0.9076245676561666
LP,WT,2,4,0.9076245676561666
LP,WT,2,4,0.9303773855000526
ML,IM,3,1,0.9099463736073182
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9099463736073182
ML,IM,3,1,0.9099463736073182
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9096796110143461
ML,IM,3,1,0.9324597802054887
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.8871662044161758
ML,IM,3,1,0.9096796110143461
ML,LP,3,2,0.9049016112703574
ML,LP,3,2,0.9523175257931139
ML,LP,3,2,0.9049016112703574
ML,LP,3,2,0.9051681709544867
ML,LP,3,2,0.9290157594117443
ML,LP,3,2,0.9051681709544863
ML,LP,3,2,0.9292950218035034
ML,LP,3,2,0.9525840854772432
ML,LP,3,2,0.9046223488785983
ML,LP,3,2,0.928749199727615
ML,LP,3,2,0.9049016112703574
ML,LP,3,2,0.8815998448889878
ML,LP,3,2,0.9054474333462454
ML,LP,3,2,0.9287364970199852
ML,LP,3,2,0.9057266957380046
ML,LP,3,2,0.9290157594117443
ML,LP,3,2,0.8810540228130994
ML,LP,3,2,0.9049016112703574
ML,LP,3,2,0.9051681709544867
ML,LP,3,2,0.8580315188234886
ML,LP,3,2,0.8813205824972287
ML,LP,3,2,0.8583107812152477
ML,LP,3,2,0.8815998448889878
ML,LP,3,2,0.9281906749440968
ML,LP,3,2,0.8815998448889878
ML,LP,3,2,0.9054474333462454
ML,LP,3,2,0.9287364970199852
