mu,mu_built_in,mu_emp,met,j,nmi,nc_norm
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.044,IM_ST,1,0.911,2
5,0.028,0.044,IM_ST,1,0.911,2
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.044,IM_ST,1,0.911,2
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.046,IM_ST,1,0.906,2.0811
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.044,IM_ST,1,0.911,2
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.046,IM_ST,1,0.906,2.0811
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.044,IM_ST,1,0.911,2
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.044784,IM_cons0.2,1,0.909,2.027
5,0.028,0.045293,IM_cons0.5,1,0.908,2.0541
5,0.028,0.045293,IM_cons0.8,1,0.908,2.0541
5,0.028,0,IM_consLF,1,0.908,2.0541
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
5,0.028,0.047,WT_ST,1,0.897,2.1892
